Overall Qual,Gr Liv Area,Total Bsmt SF,Garage Area,1st Flr SF,Garage Cars,Year Built,Garage Yr Blt,Year Remod/Add,Full Bath,Overall Qual^2,Overall Qual Gr Liv Area,Overall Qual Total Bsmt SF,Overall Qual Garage Area,Overall Qual 1st Flr SF,Overall Qual Garage Cars,Overall Qual Year Built,Overall Qual Garage Yr Blt,Overall Qual Year Remod/Add,Overall Qual Full Bath,Gr Liv Area^2,Gr Liv Area Total Bsmt SF,Gr Liv Area Garage Area,Gr Liv Area 1st Flr SF,Gr Liv Area Garage Cars,Gr Liv Area Year Built,Gr Liv Area Garage Yr Blt,Gr Liv Area Year Remod/Add,Gr Liv Area Full Bath,Total Bsmt SF^2,Total Bsmt SF Garage Area,Total Bsmt SF 1st Flr SF,Total Bsmt SF Garage Cars,Total Bsmt SF Year Built,Total Bsmt SF Garage Yr Blt,Total Bsmt SF Year Remod/Add,Total Bsmt SF Full Bath,Garage Area^2,Garage Area 1st Flr SF,Garage Area Garage Cars,Garage Area Year Built,Garage Area Garage Yr Blt,Garage Area Year Remod/Add,Garage Area Full Bath,1st Flr SF^2,1st Flr SF Garage Cars,1st Flr SF Year Built,1st Flr SF Garage Yr Blt,1st Flr SF Year Remod/Add,1st Flr SF Full Bath,Garage Cars^2,Garage Cars Year Built,Garage Cars Garage Yr Blt,Garage Cars Year Remod/Add,Garage Cars Full Bath,Year Built^2,Year Built Garage Yr Blt,Year Built Year Remod/Add,Year Built Full Bath,Garage Yr Blt^2,Garage Yr Blt Year Remod/Add,Garage Yr Blt Full Bath,Year Remod/Add^2,Year Remod/Add Full Bath,Full Bath^2,SalePrice
6.0,1479.0,725.0,475.0,725.0,2.0,1976.0,1976.0,2005.0,2.0,36.0,8874.0,4350.0,2850.0,4350.0,12.0,11856.0,11856.0,12030.0,12.0,2187441.0,1072275.0,702525.0,1072275.0,2958.0,2922504.0,2922504.0,2965395.0,2958.0,525625.0,344375.0,525625.0,1450.0,1432600.0,1432600.0,1453625.0,1450.0,225625.0,344375.0,950.0,938600.0,938600.0,952375.0,950.0,525625.0,1450.0,1432600.0,1432600.0,1453625.0,1450.0,4.0,3952.0,3952.0,4010.0,4.0,3904576.0,3904576.0,3961880.0,3952.0,3904576.0,3961880.0,3952.0,4020025.0,4010.0,4.0,130500
7.0,2122.0,913.0,559.0,913.0,2.0,1996.0,1997.0,1997.0,2.0,49.0,14854.0,6391.0,3913.0,6391.0,14.0,13972.0,13979.0,13979.0,14.0,4502884.0,1937386.0,1186198.0,1937386.0,4244.0,4235512.0,4237634.0,4237634.0,4244.0,833569.0,510367.0,833569.0,1826.0,1822348.0,1823261.0,1823261.0,1826.0,312481.0,510367.0,1118.0,1115764.0,1116323.0,1116323.0,1118.0,833569.0,1826.0,1822348.0,1823261.0,1823261.0,1826.0,4.0,3992.0,3994.0,3994.0,4.0,3984016.0,3986012.0,3986012.0,3992.0,3988009.0,3988009.0,3994.0,3988009.0,3994.0,4.0,220000
5.0,1057.0,1057.0,246.0,1057.0,1.0,1953.0,1953.0,2007.0,1.0,25.0,5285.0,5285.0,1230.0,5285.0,5.0,9765.0,9765.0,10035.0,5.0,1117249.0,1117249.0,260022.0,1117249.0,1057.0,2064321.0,2064321.0,2121399.0,1057.0,1117249.0,260022.0,1117249.0,1057.0,2064321.0,2064321.0,2121399.0,1057.0,60516.0,260022.0,246.0,480438.0,480438.0,493722.0,246.0,1117249.0,1057.0,2064321.0,2064321.0,2121399.0,1057.0,1.0,1953.0,1953.0,2007.0,1.0,3814209.0,3814209.0,3919671.0,1953.0,3814209.0,3919671.0,1953.0,4028049.0,2007.0,1.0,109000
5.0,1444.0,384.0,400.0,744.0,2.0,2006.0,2007.0,2007.0,2.0,25.0,7220.0,1920.0,2000.0,3720.0,10.0,10030.0,10035.0,10035.0,10.0,2085136.0,554496.0,577600.0,1074336.0,2888.0,2896664.0,2898108.0,2898108.0,2888.0,147456.0,153600.0,285696.0,768.0,770304.0,770688.0,770688.0,768.0,160000.0,297600.0,800.0,802400.0,802800.0,802800.0,800.0,553536.0,1488.0,1492464.0,1493208.0,1493208.0,1488.0,4.0,4012.0,4014.0,4014.0,4.0,4024036.0,4026042.0,4026042.0,4012.0,4028049.0,4028049.0,4014.0,4028049.0,4014.0,4.0,174000
6.0,1445.0,676.0,484.0,831.0,2.0,1900.0,1957.0,1993.0,2.0,36.0,8670.0,4056.0,2904.0,4986.0,12.0,11400.0,11742.0,11958.0,12.0,2088025.0,976820.0,699380.0,1200795.0,2890.0,2745500.0,2827865.0,2879885.0,2890.0,456976.0,327184.0,561756.0,1352.0,1284400.0,1322932.0,1347268.0,1352.0,234256.0,402204.0,968.0,919600.0,947188.0,964612.0,968.0,690561.0,1662.0,1578900.0,1626267.0,1656183.0,1662.0,4.0,3800.0,3914.0,3986.0,4.0,3610000.0,3718300.0,3786700.0,3800.0,3829849.0,3900301.0,3914.0,3972049.0,3986.0,4.0,138500
6.0,1888.0,1517.0,578.0,1888.0,2.0,1966.0,1966.0,2002.0,2.0,36.0,11328.0,9102.0,3468.0,11328.0,12.0,11796.0,11796.0,12012.0,12.0,3564544.0,2864096.0,1091264.0,3564544.0,3776.0,3711808.0,3711808.0,3779776.0,3776.0,2301289.0,876826.0,2864096.0,3034.0,2982422.0,2982422.0,3037034.0,3034.0,334084.0,1091264.0,1156.0,1136348.0,1136348.0,1157156.0,1156.0,3564544.0,3776.0,3711808.0,3711808.0,3779776.0,3776.0,4.0,3932.0,3932.0,4004.0,4.0,3865156.0,3865156.0,3935932.0,3932.0,3865156.0,3935932.0,3932.0,4008004.0,4004.0,4.0,190000
6.0,1072.0,547.0,525.0,1072.0,2.0,2005.0,2005.0,2006.0,2.0,36.0,6432.0,3282.0,3150.0,6432.0,12.0,12030.0,12030.0,12036.0,12.0,1149184.0,586384.0,562800.0,1149184.0,2144.0,2149360.0,2149360.0,2150432.0,2144.0,299209.0,287175.0,586384.0,1094.0,1096735.0,1096735.0,1097282.0,1094.0,275625.0,562800.0,1050.0,1052625.0,1052625.0,1053150.0,1050.0,1149184.0,2144.0,2149360.0,2149360.0,2150432.0,2144.0,4.0,4010.0,4010.0,4012.0,4.0,4020025.0,4020025.0,4022030.0,4010.0,4020025.0,4022030.0,4010.0,4024036.0,4012.0,4.0,140000
5.0,1188.0,1188.0,531.0,1188.0,2.0,1959.0,1959.0,1959.0,1.0,25.0,5940.0,5940.0,2655.0,5940.0,10.0,9795.0,9795.0,9795.0,5.0,1411344.0,1411344.0,630828.0,1411344.0,2376.0,2327292.0,2327292.0,2327292.0,1188.0,1411344.0,630828.0,1411344.0,2376.0,2327292.0,2327292.0,2327292.0,1188.0,281961.0,630828.0,1062.0,1040229.0,1040229.0,1040229.0,531.0,1411344.0,2376.0,2327292.0,2327292.0,2327292.0,1188.0,4.0,3918.0,3918.0,3918.0,2.0,3837681.0,3837681.0,3837681.0,1959.0,3837681.0,3837681.0,1959.0,3837681.0,1959.0,1.0,142000
5.0,924.0,924.0,420.0,924.0,1.0,1952.0,1952.0,1952.0,1.0,25.0,4620.0,4620.0,2100.0,4620.0,5.0,9760.0,9760.0,9760.0,5.0,853776.0,853776.0,388080.0,853776.0,924.0,1803648.0,1803648.0,1803648.0,924.0,853776.0,388080.0,853776.0,924.0,1803648.0,1803648.0,1803648.0,924.0,176400.0,388080.0,420.0,819840.0,819840.0,819840.0,420.0,853776.0,924.0,1803648.0,1803648.0,1803648.0,924.0,1.0,1952.0,1952.0,1952.0,1.0,3810304.0,3810304.0,3810304.0,1952.0,3810304.0,3810304.0,1952.0,3810304.0,1952.0,1.0,112500
5.0,2080.0,1040.0,504.0,1040.0,2.0,1969.0,1969.0,1969.0,1.0,25.0,10400.0,5200.0,2520.0,5200.0,10.0,9845.0,9845.0,9845.0,5.0,4326400.0,2163200.0,1048320.0,2163200.0,4160.0,4095520.0,4095520.0,4095520.0,2080.0,1081600.0,524160.0,1081600.0,2080.0,2047760.0,2047760.0,2047760.0,1040.0,254016.0,524160.0,1008.0,992376.0,992376.0,992376.0,504.0,1081600.0,2080.0,2047760.0,2047760.0,2047760.0,1040.0,4.0,3938.0,3938.0,3938.0,2.0,3876961.0,3876961.0,3876961.0,1969.0,3876961.0,3876961.0,1969.0,3876961.0,1969.0,1.0,135000
